,Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No,HM,HW/M,HD/M,HL/M,HG/M,HGA/M,HPTS/M,HxG/M,HNPxG/M,HxGA/M,HNPxGA/M,HNPxGD/M,HPPDA,HOPPDA,HDC/M,HODC/M,HxPTS/M,AM,AW/M,AD/M,AL/M,AG/M,AGA/M,APTS/M,AxG/M,ANPxG/M,AxGA/M,ANPxGA/M,ANPxGD/M,APPDA,AOPPDA,ADC/M,AODC/M,AxPTS/M,Match_id
0,12/11/2023,Mallorca,Cadiz,1.91,3.3,4.5,2.5,2.5,1.53,2.2,1.62,12,0.08333333333333333,0.5,0.4166666666666667,1.0,1.5,0.75,1.235,1.0374999999999999,1.7316666666666667,1.4841666666666666,-0.4466666666666667,10.66,8.88,3.6666666666666665,7.583333333333333,1.0825,12,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,1.4166666666666667,0.8333333333333334,0.8975,0.835,1.665,1.665,-0.8300000000000001,9.95,7.36,3.4166666666666665,6.75,1.0608333333333333,c1fe6edb-7ff7-59f2-9dee-4fe2dbdba8ca
1,03/12/2023,Celta Vigo,Cadiz,1.85,3.7,4.15,2.5,1.98,1.83,1.87,1.88,13,0.07692307692307693,0.3076923076923077,0.6153846153846154,1.0769230769230769,1.8461538461538463,0.5384615384615384,1.633076923076923,1.5184615384615383,1.7838461538461539,1.5553846153846154,-0.03692307692307692,16.15,9.51,6.384615384615385,5.923076923076923,1.2938461538461539,12,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,1.4166666666666667,0.8333333333333334,0.8975,0.835,1.665,1.665,-0.8300000000000001,9.95,7.36,3.4166666666666665,6.75,1.0608333333333333,52ec8fac-307d-50bc-8ea8-1c467adf0abe
2,03/12/2023,Mallorca,Alaves,2.1,3.3,3.75,2.5,2.47,1.55,2.15,1.65,12,0.08333333333333333,0.5,0.4166666666666667,1.0,1.5,0.75,1.235,1.0374999999999999,1.7316666666666667,1.4841666666666666,-0.4466666666666667,10.66,8.88,3.6666666666666665,7.583333333333333,1.0825,13,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.8461538461538461,1.3846153846153846,0.9230769230769231,1.5523076923076924,1.4376923076923078,1.43,1.2015384615384614,0.23692307692307693,12.03,8.43,5.538461538461538,5.538461538461538,1.4953846153846155,a911ad30-e78f-51b4-bf50-1dcc63bfe939
3,24/11/2023,Alaves,Granada,1.85,3.6,4.3,2.5,2.05,1.78,1.88,1.85,13,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.8461538461538461,1.3846153846153846,0.9230769230769231,1.5523076923076924,1.4376923076923078,1.43,1.2015384615384614,0.23692307692307693,12.03,8.43,5.538461538461538,5.538461538461538,1.4953846153846155,13,0.07692307692307693,0.3076923076923077,0.6153846153846154,1.3846153846153846,2.3076923076923075,0.5384615384615384,1.3369230769230769,1.163846153846154,2.040769230769231,1.8123076923076922,-0.6476923076923077,11.5,8.26,4.461538461538462,6.846153846153846,0.8753846153846154,81b93f36-1e52-5a84-a515-a105586b407d
4,03/12/2023,Real Madrid,Granada,1.18,6.9,17.5,3.5,2.02,1.8,2.02,1.75,13,0.7692307692307693,0.15384615384615385,0.07692307692307693,2.1538461538461537,0.6923076923076923,2.4615384615384617,2.213076923076923,2.0930769230769233,1.2961538461538462,1.2961538461538462,0.7969230769230768,11.65,15.55,10.615384615384615,3.769230769230769,1.886923076923077,13,0.07692307692307693,0.3076923076923077,0.6153846153846154,1.3846153846153846,2.3076923076923075,0.5384615384615384,1.3369230769230769,1.163846153846154,2.040769230769231,1.8123076923076922,-0.6476923076923077,11.5,8.26,4.461538461538462,6.846153846153846,0.8753846153846154,893f0885-aa8a-5350-a7ce-0c0d68f81b6e
5,25/11/2023,Rayo Vallecano,Barcelona,5.1,4.0,1.65,2.5,1.75,2.1,1.72,2.05,13,0.3076923076923077,0.46153846153846156,0.23076923076923078,1.1538461538461537,1.3076923076923077,1.3846153846153846,1.353076923076923,1.0676923076923077,1.5,1.386153846153846,-0.31846153846153846,9.47,7.33,5.3076923076923075,8.846153846153847,1.35,13,0.6923076923076923,0.23076923076923078,0.07692307692307693,2.0,1.0,2.3076923076923075,2.1107692307692307,1.9961538461538462,1.086153846153846,1.086153846153846,0.91,7.57,14.83,9.538461538461538,6.461538461538462,2.0746153846153845,a5d2b3c4-d525-5067-a38e-21781488be48
6,25/11/2023,Valencia,Celta Vigo,2.15,3.35,3.5,2.5,2.12,1.72,1.85,1.88,13,0.38461538461538464,0.23076923076923078,0.38461538461538464,1.2307692307692308,1.3846153846153846,1.3846153846153846,1.2946153846153845,1.1807692307692308,1.2330769230769232,1.1192307692307693,0.06153846153846154,11.02,9.97,3.4615384615384617,4.384615384615385,1.4684615384615385,13,0.07692307692307693,0.3076923076923077,0.6153846153846154,1.0769230769230769,1.8461538461538463,0.5384615384615384,1.633076923076923,1.5184615384615383,1.7838461538461539,1.5553846153846154,-0.03692307692307692,16.15,9.51,6.384615384615385,5.923076923076923,1.2938461538461539,9d4b0010-f8a9-5e06-9d85-70fc123f9393
7,25/11/2023,Getafe,Almeria,1.75,3.65,4.9,2.5,2.05,1.78,1.95,1.8,13,0.23076923076923078,0.5384615384615384,0.23076923076923078,1.1538461538461537,1.3076923076923077,1.2307692307692308,1.246923076923077,1.133076923076923,1.433846153846154,1.2623076923076924,-0.13,10.35,6.99,3.6923076923076925,6.230769230769231,1.2584615384615385,13,0.0,0.23076923076923078,0.7692307692307693,1.1538461538461537,2.6923076923076925,0.23076923076923078,1.3069230769230769,1.2492307692307691,2.2115384615384617,1.866923076923077,-0.6176923076923077,11.12,9.38,3.230769230769231,8.0,0.806923076923077,5caeffc6-32de-5b29-b2c4-e80c95f3b5b1
8,25/11/2023,Atletico Madrid,Mallorca,1.39,4.65,8.75,2.5,1.93,1.88,2.25,1.6,12,0.75,0.08333333333333333,0.16666666666666666,2.4166666666666665,1.0,2.3333333333333335,2.1733333333333333,2.0500000000000003,0.9258333333333333,0.9258333333333333,1.1233333333333333,14.52,14.52,9.333333333333334,5.166666666666667,2.1316666666666664,12,0.08333333333333333,0.5,0.4166666666666667,1.0,1.5,0.75,1.235,1.0374999999999999,1.7316666666666667,1.4841666666666666,-0.4466666666666667,10.66,8.88,3.6666666666666665,7.583333333333333,1.0825,53214582-f38a-5164-8f7d-38b882e05b7c
9,26/11/2023,Villarreal,Osasuna,2.3,3.45,3.1,2.5,1.93,1.88,1.72,2.05,13,0.23076923076923078,0.23076923076923078,0.5384615384615384,1.3846153846153846,1.8461538461538463,0.9230769230769231,1.3176923076923077,1.146153846153846,1.8515384615384616,1.7369230769230768,-0.5907692307692307,9.26,9.99,6.846153846153846,8.846153846153847,1.0461538461538462,13,0.3076923076923077,0.15384615384615385,0.5384615384615384,1.1538461538461537,1.6153846153846154,1.0769230769230769,1.1915384615384617,1.02,1.5638461538461537,1.4438461538461538,-0.4238461538461538,10.86,11.28,5.538461538461538,5.384615384615385,1.2361538461538462,450fd6e4-f8d8-525d-bcd0-a444f8b256f6
10,26/11/2023,Real Sociedad,Sevilla,1.8,3.55,4.75,2.5,2.15,1.7,2.0,1.75,13,0.46153846153846156,0.3076923076923077,0.23076923076923078,1.7692307692307692,1.2307692307692308,1.6923076923076923,1.5230769230769232,1.3515384615384616,1.4876923076923076,1.373076923076923,-0.022307692307692306,7.73,11.95,4.769230769230769,4.615384615384615,1.4015384615384614,12,0.16666666666666666,0.5,0.3333333333333333,1.5,1.4166666666666667,1.0,1.3783333333333332,1.3783333333333332,1.7216666666666667,1.6600000000000001,-0.2808333333333333,8.79,12.16,5.666666666666667,4.583333333333333,1.1283333333333332,569e55be-9f2a-595d-976f-2e35e3bea27a
11,26/11/2023,Cadiz,Real Madrid,6.9,4.8,1.44,2.5,1.65,2.25,1.87,1.88,12,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,1.4166666666666667,0.8333333333333334,0.8975,0.835,1.665,1.665,-0.8300000000000001,9.95,7.36,3.4166666666666665,6.75,1.0608333333333333,13,0.7692307692307693,0.15384615384615385,0.07692307692307693,2.1538461538461537,0.6923076923076923,2.4615384615384617,2.213076923076923,2.0930769230769233,1.2961538461538462,1.2961538461538462,0.7969230769230768,11.65,15.55,10.615384615384615,3.769230769230769,1.886923076923077,606938f1-ba45-5c3f-b5f2-15bce68977e3
12,26/11/2023,Real Betis,Las Palmas,1.7,3.8,5.0,2.5,2.05,1.78,2.0,1.75,13,0.38461538461538464,0.46153846153846156,0.15384615384615385,1.3076923076923077,1.2307692307692308,1.6153846153846154,1.4607692307692306,1.4607692307692306,1.2330769230769232,1.1184615384615384,0.3423076923076923,11.16,9.3,8.615384615384615,5.384615384615385,1.5584615384615386,13,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.8461538461538461,0.9230769230769231,1.3846153846153846,0.9492307692307692,0.7207692307692307,1.3792307692307693,1.196923076923077,-0.4761538461538462,9.2,11.86,5.153846153846154,5.076923076923077,1.0707692307692307,19fe54ed-6eb5-52ab-90a9-e25fe95d6a66
13,03/12/2023,Almeria,Real Betis,3.25,3.4,2.22,2.5,1.93,1.88,1.7,2.07,13,0.0,0.23076923076923078,0.7692307692307693,1.1538461538461537,2.6923076923076925,0.23076923076923078,1.3069230769230769,1.2492307692307691,2.2115384615384617,1.866923076923077,-0.6176923076923077,11.12,9.38,3.230769230769231,8.0,0.806923076923077,13,0.38461538461538464,0.46153846153846156,0.15384615384615385,1.3076923076923077,1.2307692307692308,1.6153846153846154,1.4607692307692306,1.4607692307692306,1.2330769230769232,1.1184615384615384,0.3423076923076923,11.16,9.3,8.615384615384615,5.384615384615385,1.5584615384615386,6ac622a9-2ec8-5db3-a795-6809436130b5
14,03/12/2023,Girona,Valencia,1.83,3.6,4.45,2.5,1.93,1.87,1.8,1.93,13,0.8461538461538461,0.07692307692307693,0.07692307692307693,2.3846153846153846,1.2307692307692308,2.6153846153846154,2.1223076923076922,2.0653846153846156,1.536923076923077,1.4223076923076923,0.6423076923076922,9.19,11.73,7.769230769230769,5.615384615384615,1.746923076923077,13,0.38461538461538464,0.23076923076923078,0.38461538461538464,1.2307692307692308,1.3846153846153846,1.3846153846153846,1.2946153846153845,1.1807692307692308,1.2330769230769232,1.1192307692307693,0.06153846153846154,11.02,9.97,3.4615384615384617,4.384615384615385,1.4684615384615385,e353aa28-dc27-5a7e-a889-c3c986db4fa7
15,03/12/2023,Osasuna,Real Sociedad,3.15,3.1,2.42,2.5,2.52,1.53,2.07,1.7,13,0.3076923076923077,0.15384615384615385,0.5384615384615384,1.1538461538461537,1.6153846153846154,1.0769230769230769,1.1915384615384617,1.02,1.5638461538461537,1.4438461538461538,-0.4238461538461538,10.86,11.28,5.538461538461538,5.384615384615385,1.2361538461538462,13,0.46153846153846156,0.3076923076923077,0.23076923076923078,1.7692307692307692,1.2307692307692308,1.6923076923076923,1.5230769230769232,1.3515384615384616,1.4876923076923076,1.373076923076923,-0.022307692307692306,7.73,11.95,4.769230769230769,4.615384615384615,1.4015384615384614,152a8be6-d83f-519c-8af2-17d865b21043
16,03/12/2023,Sevilla,Villarreal,2.05,3.6,3.55,2.5,1.83,1.98,1.7,2.07,12,0.16666666666666666,0.5,0.3333333333333333,1.5,1.4166666666666667,1.0,1.3783333333333332,1.3783333333333332,1.7216666666666667,1.6600000000000001,-0.2808333333333333,8.79,12.16,5.666666666666667,4.583333333333333,1.1283333333333332,13,0.23076923076923078,0.23076923076923078,0.5384615384615384,1.3846153846153846,1.8461538461538463,0.9230769230769231,1.3176923076923077,1.146153846153846,1.8515384615384616,1.7369230769230768,-0.5907692307692307,9.26,9.99,6.846153846153846,8.846153846153847,1.0461538461538462,09f073e8-c886-5fd6-9051-d7d79f17e351
17,03/12/2023,Barcelona,Atletico Madrid,2.0,3.75,3.55,2.5,1.72,2.12,1.62,2.22,13,0.6923076923076923,0.23076923076923078,0.07692307692307693,2.0,1.0,2.3076923076923075,2.1107692307692307,1.9961538461538462,1.086153846153846,1.086153846153846,0.91,7.57,14.83,9.538461538461538,6.461538461538462,2.0746153846153845,12,0.75,0.08333333333333333,0.16666666666666666,2.4166666666666665,1.0,2.3333333333333335,2.1733333333333333,2.0500000000000003,0.9258333333333333,0.9258333333333333,1.1233333333333333,14.52,14.52,9.333333333333334,5.166666666666667,2.1316666666666664,819e1c37-7315-5ec9-bb27-d40a06e6b318
18,03/12/2023,Las Palmas,Getafe,2.5,3.1,3.1,1.5,1.57,2.45,2.15,1.65,13,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.8461538461538461,0.9230769230769231,1.3846153846153846,0.9492307692307692,0.7207692307692307,1.3792307692307693,1.196923076923077,-0.4761538461538462,9.2,11.86,5.153846153846154,5.076923076923077,1.0707692307692307,13,0.23076923076923078,0.5384615384615384,0.23076923076923078,1.1538461538461537,1.3076923076923077,1.2307692307692308,1.246923076923077,1.133076923076923,1.433846153846154,1.2623076923076924,-0.13,10.35,6.99,3.6923076923076925,6.230769230769231,1.2584615384615385,4d80c07a-c47a-5a9a-b662-6bc1f8d93447
